,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation
宛転たる,0.75833327,0.038921572,0,0,0,0,0,0
円転自在,0.75833327,0.038921572,0,0,0,0,0,0
滔々たる,0.75833327,0.038921572,0,0,0,0,0,0
清新,0.6635417,0.021875,0,0,0,0.0825,0.0075000003,0.025
清清しい,0.7463889,0.024166668,0,0,0.0012500001,0.0045833336,0.0075000008,0
滔滔たる,0.75833327,0.038921572,0,0,0,0,0,0
流ちょう,0.75833327,0.038921572,0,0,0,0,0,0
雄弁,0.75833327,0.038921572,0,0,0,0,0,0
能辯,0.61388886,0.03150794,0.0020833334,0.0011904762,0,0.121021815,0.033703234,0.020408163
恥ずい,0.14389285,0.008333334,0.013666667,0.23877776,0.034484126,0.08623016,0.15175,0.0015
照れくさい,0.14389285,0.008333334,0.013666667,0.23877776,0.034484126,0.08623016,0.15175,0.0015
付,0.8712079,0.66256094,0,0,0,0,0,0
ツキ,0.8712079,0.66256094,0,0,0,0,0,0
暮らし向き,0.97509027,0.93430996,0,0,0,0,0,0
巡合わせ,0.9527261,0.912424,0,0.013636365,0,0,0,0
因縁ずく,0.97509027,0.93430996,0,0,0,0,0,0
回合わせ,0.97488254,0.93364316,0,0,0,0,0,0
巡合,0.9527261,0.912424,0,0.013636365,0,0,0,0
縁し,0.97509027,0.93430996,0,0,0,0,0,0
宿世,0.97488254,0.93364316,0,0,0,0,0,0
天命,0.97488254,0.93364316,0,0,0,0,0,0
定事,0.97488254,0.93364316,0,0,0,0,0,0
因縁,0.97488254,0.93364316,0,0,0,0,0,0
回り合わせ,0.9527261,0.912424,0,0.013636365,0,0,0,0
運勢,0.97509027,0.93430996,0,0,0,0,0,0
境遇,0.97509027,0.93430996,0,0,0,0,0,0
回合せ,0.9527261,0.912424,0,0.013636365,0,0,0,0
定め事,0.97488254,0.93364316,0,0,0,0,0,0
巡合せ,0.9527261,0.912424,0,0.013636365,0,0,0,0
宿縁,0.97509027,0.93430996,0,0,0,0,0,0
附き,0.8712079,0.66256094,0,0,0,0,0,0
運命,0.97488254,0.93364316,0,0,0,0,0,0
命運,0.97488254,0.93364316,0,0,0,0,0,0
まわり合わせ,0.9691819,0.9189113,0,0,0,0,0,0
定め,0.97488254,0.93364316,0,0,0,0,0,0
命数,0.97509027,0.93430996,0,0,0,0,0,0
因縁尽,0.97509027,0.93430996,0,0,0,0,0,0
巡り合わせ,0.97488254,0.93364316,0,0,0,0,0,0
宿運,0.97488254,0.93364316,0,0,0,0,0,0
付き,0.8712079,0.66256094,0,0,0,0,0,0
運,0.95122135,0.86997646,0,0,0,0,0,0
好い目,0.8712079,0.66256094,0,0,0,0,0,0
ラック,0.8712079,0.66256094,0,0,0,0,0,0
身の上,0.97509027,0.93430996,0,0,0,0,0,0
定,0.8502149,0.8691773,0,0,0,0,0,0
宿因,0.97509027,0.93430996,0,0,0,0,0,0
因縁尽く,0.97509027,0.93430996,0,0,0,0,0,0
運気,0.97509027,0.93430996,0,0,0,0,0,0
附,0.8712079,0.66256094,0,0,0,0,0,0
回り合せ,0.97488254,0.93364316,0,0,0,0,0,0
天運,0.97488254,0.93364316,0,0,0,0,0,0
宿命,0.97488254,0.93364316,0,0,0,0,0,0
さだめ,0.9691819,0.9189113,0,0,0,0,0,0
回合,0.9527261,0.912424,0,0.013636365,0,0,0,0
天意,0.97509027,0.93430996,0,0,0,0,0,0
渋面,0,0,0,0.085714296,0.085714296,0.2857143,0.31428573,0
しかめ面,0,0,0,0.085714296,0.085714296,0.2857143,0.31428573,0
顰め面,0,0,0,0.085714296,0.085714296,0.2857143,0.31428573,0
渋っ面,0,0,0,0.085714296,0.085714296,0.2857143,0.31428573,0
顰めっ面,0,0,0,0.085714296,0.085714296,0.2857143,0.31428573,0
好き好み,0.36666667,0.36666667,0,0,0,0.056944445,0.020833334,0
好尚,0.36666667,0.36666667,0,0,0,0.056944445,0.020833334,0
すき好み,0.36666667,0.36666667,0,0,0,0.056944445,0.020833334,0
好きこのみ,0.36666667,0.36666667,0,0,0,0.056944445,0.020833334,0
真摯さ,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
篤実,0.20937443,0.53127295,0.0015111112,0.00716,0.0030074075,0.0062074075,0.008948149,0
正直,0.22735105,0.4999347,0.0014166668,0.0057125003,0.009069445,0.009111111,0.014854168,0.003125
真率,0.20848761,0.5340604,0.0015315316,0.0059054056,0.0030480481,0.0062912917,0.00906907,0
至誠心,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
誠実,0.22823523,0.5141832,0.0014345992,0.008949367,0.0028551337,0.006061885,0.009978903,0
実,0.28892627,0.48503324,0.00049823633,0.005121399,0.0067136977,0.008154027,0.005928865,0.0019106407
真率さ,0.15261906,0.6132011,0,0,0.0021164021,0.0037037036,0.005820106,0
誠実さ,0.16309524,0.6020899,0,0.0004761905,0.0021164021,0.004021164,0.008611111,0
実直さ,0.16511628,0.6001034,0,0.0004651163,0.0020671836,0.003927649,0.008410852,0
誠情,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
誠,0.28988186,0.4855851,0.00049823633,0.0044547324,0.0067136977,0.008154027,0.005928865,0.0019106407
丹赤,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
丹心,0.15761364,0.6044571,0,0.0022727274,0.002020202,0.0035353536,0.0055555557,0
真,0.29144612,0.48636815,0.00052141014,0.0034991389,0.007025963,0.008533284,0.006204626,0.001999508
本気,0.19036458,0.532037,0,0.0004166667,0.0125,0.013935186,0.029525463,0.0005787037
至心,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
至誠,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
真正直,0.23556276,0.4925367,0.001399177,0.0056419754,0.0074485596,0.0092043895,0.018237311,0.00034293553
率直さ,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
真情,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
実意,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
信実,0.15761364,0.6044571,0,0.0022727274,0.002020202,0.0035353536,0.0055555557,0
誠意,0.16311628,0.59894836,0,0.0018604652,0.0020671836,0.003927649,0.008410852,0
信,0.181875,0.5949884,0,0.0020833334,0.0018518519,0.0032407409,0.005092593,0
篤厚,0.16704082,0.59549886,0,0.0020408162,0.001814059,0.0031746032,0.0049886624,0
篤実さ,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
誠心,0.16309524,0.6020899,0,0.0004761905,0.0021164021,0.004021164,0.008611111,0
丹誠,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
実法,0.20848761,0.5340604,0.0015315316,0.0059054056,0.0030480481,0.0062912917,0.00906907,0
赤心,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
忠誠,0.17086735,0.59345806,0,0.0020408162,0.001814059,0.0031746032,0.0049886624,0
真心,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
情実,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
赤誠,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
衷情,0.15024391,0.6155556,0,0,0.0021680219,0.0037940382,0.0059620603,0
実体,0.20937443,0.53127295,0.0015111112,0.00716,0.0030074075,0.0062074075,0.008948149,0
実直,0.2090411,0.5336063,0.0015111112,0.007826667,0.0030074075,0.0062074075,0.008948149,0
鎮まる,0.19038463,0.11107693,0.022871796,0.06598718,0.046461537,0.069339745,0.012512821,0.14163461
弱まる,0.18428573,0.11057144,0.012,0.051714286,0.029142857,0.053476192,0.008,0.18357143
和らぐ,0.16927084,0.09900001,0.023791667,0.075628474,0.06830555,0.0618941,0.024750004,0.14528646
治まる,0.20666668,0.11944445,0.023703704,0.070092596,0.04444444,0.079398155,0.011851852,0.11597222
緩む,0.12907407,0.07744444,0.009296296,0.0485679,0.038493827,0.025734568,0.016074074,0.2537963
静もる,0.20666668,0.11944445,0.023703704,0.070092596,0.04444444,0.079398155,0.011851852,0.11597222
鎮もる,0.20666668,0.11944445,0.023703704,0.070092596,0.04444444,0.079398155,0.011851852,0.11597222
くず折れる,0,0,0.11,0.11,0.28333333,0,0.046666667,0.09166667
没する,0.067857146,0.067857146,0.00952381,0.1452381,0.25285715,0,0.04904762,0.00952381
沈下,0,0,0.1,0.1,0.28,0,0.040000003,0.1
沈降,0,0,0.1,0.1,0.28,0,0.040000003,0.1
沈没,0,0,0.1,0.1,0.28,0,0.040000003,0.1
倒れる,0,0,0.11,0.11,0.28333333,0,0.046666667,0.09166667
懇親,0.11812909,0.48444444,0,0.0016176471,0,0.0021568628,0.0032352943,0
親交,0.118554294,0.4868434,0,0.0012500001,0,0.0016666668,0.0025000002,0
誼み,0.118554294,0.4868434,0,0.0012500001,0,0.0016666668,0.0025000002,0
慇懃,0.14864418,0.46708995,0.0011904764,0.006071429,0,0.002936508,0.0026190479,0
昵懇,0.11812909,0.48444444,0,0.0016176471,0,0.0021568628,0.0032352943,0
馴染,0.1579025,0.44859412,0,0.0092857145,0,0.012380953,0.018571429,0
交情,0.11812909,0.48444444,0,0.0016176471,0,0.0021568628,0.0032352943,0
馴染み,0.11812909,0.48444444,0,0.0016176471,0,0.0021568628,0.0032352943,0
誼,0.10086806,0.50902784,0,0.00062500004,0,0.0008333334,0.0012500001,0
小言,0,0.012857143,0.03214286,0.0042857146,0,0,0.91785717,0
非難,0.0051449277,0.024192547,0.023090063,0.04944099,0.020717392,0.21050724,0.5977071,0
咎め,0,0.0057142857,0.014285715,0.06857143,0,0.10185185,0.70608467,0
痛罵,0,0.00064285717,0.001607143,0.14555249,0.008644445,0.16013333,0.49021575,0
漫罵,0,0.0023376623,0.005844156,0.118961036,0,0.12803032,0.5812771,0
批難,0.0048611113,0.04636905,0.024255954,0.07309524,0.0010416667,0.07847223,0.6472718,0
懲戒,0,0.012857143,0.03214286,0.0042857146,0,0,0.91785717,0
煽る,0.3368919,0.0867864,0.041183542,0.07352957,0.0015748619,0.010666394,0.28612962,0.010419777
説きすすめる,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
あおる,0.3399256,0.08988591,0.037294146,0.069439486,0.0011904762,0.00843254,0.29626736,0.0077132937
勧める,0.4505147,0.08654412,0.0016544119,0.026102941,0,0.021176472,0.28268382,0
揉立てる,0.11491935,0.14491935,0.014180109,0.06013441,0.0005376344,0.001843318,0.50692207,0.0012288786
責つく,0.11491935,0.14491935,0.014180109,0.06013441,0.0005376344,0.001843318,0.50692207,0.0012288786
慫慂,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
迫る,0.06284483,0.16905174,0.00941092,0.05738506,0.00057471264,0.0011494253,0.54188216,0
力付ける,0.4805833,0.08608334,0.0018750001,0.025583336,0,0.0013333334,0.26970834,0
元気づける,0.47387928,0.08905172,0.0019396553,0.026465518,0,0.0013793104,0.27900863,0
勇気付ける,0.4805833,0.08608334,0.0018750001,0.025583336,0,0.0013333334,0.26970834,0
奮起す,0.6139074,0.057635807,0.0017438274,0.019154321,0,0.0032345678,0.1837253,0.0010802469
引っ立てる,0.47387928,0.08905172,0.0019396553,0.026465518,0,0.0013793104,0.27900863,0
突きあげる,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
説勧める,0.0907258,0.15362903,0.008803763,0.056586023,0.0005376344,0.0010752688,0.5359543,0
作興,0.5809964,0.06420894,0.0017059179,0.021346617,0,0.003164251,0.20581824,0.0010567632
督促,0.06284483,0.16905174,0.00941092,0.05738506,0.00057471264,0.0011494253,0.54188216,0
突上げる,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
催促,0.062921874,0.17060938,0.010341146,0.053192712,0.015520834,0.009635417,0.5152995,0
詰る,0.024404762,0.10107143,0.03125,0.046785716,0.0017857144,0.041666668,0.63958335,0
駈る,0.27447674,0.1119186,0.032548446,0.06567829,0.0003875969,0.0013289037,0.36545542,0.0008859358
奨める,0.43689394,0.08916667,0.0017045456,0.026893942,0,0.021818181,0.29125,0
勇気づける,0.47387928,0.08905172,0.0019396553,0.026465518,0,0.0013793104,0.27900863,0
励ます,0.4475,0.10007576,0.0017045456,0.025984848,0,0.012929293,0.26276517,0.005050505
勧賞,0.47387928,0.08905172,0.0019396553,0.026465518,0,0.0013793104,0.27900863,0
とき勧める,0.0907258,0.15362903,0.008803763,0.056586023,0.0005376344,0.0010752688,0.5359543,0
責付く,0.11491935,0.14491935,0.014180109,0.06013441,0.0005376344,0.001843318,0.50692207,0.0012288786
催す,0.07565254,0.1762988,0.008291601,0.04876557,0.026533231,0.0024468864,0.47240463,0
揉み立てる,0.11491935,0.14491935,0.014180109,0.06013441,0.0005376344,0.001843318,0.50692207,0.0012288786
嗾ける,0.35491666,0.097272225,0.012569445,0.045572225,0.00033333336,0.0037301588,0.34181944,0.0024960318
説き勧める,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
薦める,0.43689394,0.08916667,0.0017045456,0.026893942,0,0.021818181,0.29125,0
策励,0.60056156,0.06029589,0.0017059179,0.02004227,0,0.003164251,0.19277476,0.0010567632
督励,0.27754465,0.12433036,0.004873512,0.042752977,0.00029761906,0.0013095238,0.406689,0
咎める,0.028472222,0.087916665,0.036458336,0.044583336,0.0020833334,0.048611112,0.64618057,0
督責,0.06284483,0.16905174,0.00941092,0.05738506,0.00057471264,0.0011494253,0.54188216,0
衝き上げる,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
窘める,0.0375,0.1275,0.01875,0.0425,0,0,0.64375,0
衝上げる,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
突つく,0.14901315,0.11822369,0.021217106,0.07010965,0.0039473684,0.047744364,0.4205592,0.0020050125
かり立てる,0.05223214,0.16044644,0.009747024,0.059434526,0.0005952381,0.0011904762,0.56123513,0
激励,0.4763281,0.080703124,0.01217448,0.036484376,0,0.0027380954,0.25285158,0.0023809525
力づける,0.46833333,0.0930303,0.0017045456,0.03159091,0,0.0012121212,0.2451894,0
元気付ける,0.47387928,0.08905172,0.0019396553,0.026465518,0,0.0013793104,0.27900863,0
責め立てる,0.048071835,0.13351344,0.06634157,0.09324481,0.009648963,0.01903948,0.4478678,0
鼓舞,0.59601665,0.05547222,0.008236111,0.02643889,0,0.003863492,0.17735277,0.0024960318
促す,0.36089867,0.10458061,0.009055011,0.041149236,0.0003267974,0.003190165,0.33903867,0.0017001245
捨鉢,0.013959097,0.0023199024,0.05773682,0.22640568,0.3284913,0.123899564,0.12746236,0.00096153846
自暴,0.013959097,0.0023199024,0.05773682,0.22640568,0.3284913,0.123899564,0.12746236,0.00096153846
やけっぱち,0.013959097,0.0023199024,0.05773682,0.22640568,0.3284913,0.123899564,0.12746236,0.00096153846
自棄のやん八,0.013959097,0.0023199024,0.05773682,0.22640568,0.3284913,0.123899564,0.12746236,0.00096153846
やけくそ,0.013959097,0.0023199024,0.05773682,0.22640568,0.3284913,0.123899564,0.12746236,0.00096153846
ひつこい,0,0,0,0,0,0.675,0.22500001,0
ねつこい,0,0,0,0,0,0.675,0.22500001,0
しつっこい,0,0,0,0,0,0.675,0.22500001,0
ねつっこい,0,0,0,0,0,0.675,0.22500001,0
銷魂,0.052851044,0.011935288,0.07804894,0.23733516,0.3024603,0.080450244,0.072709605,0.017948719
思い回す,0.012042625,0.17193332,0.13371962,0.00018648019,0.22975442,0.0019020978,0.12503013,0
思出す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
覚える,0.0817611,0.21560411,0.030911174,0.031734776,0.1725933,0.006538462,0.1532286,0
思起す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
想い浮かべる,0.014145167,0.19635141,0.008577799,0.00022296545,0.2817716,0.03553512,0.16894908,0
呼起こす,0.014658992,0.20261109,0.0051090186,0.00024420026,0.3008689,0.0024908427,0.16372995,0
想起す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
思いあたる,0.0025925925,0.19032408,0.0022222223,0,0.3189815,0,0.17175926,0
思い浮かべる,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
喚起こす,0.014658992,0.20261109,0.0051090186,0.00024420026,0.3008689,0.0024908427,0.16372995,0
思い出す,0.0133842975,0.20129707,0.004664756,0.00022296545,0.30296725,0.0022742474,0.16470996,0
思い浮べる,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
追思,0.029434364,0.1978992,0.007315785,0.0025641026,0.29387194,0.002432916,0.15992229,0
追懐,0.029434364,0.1978992,0.007315785,0.0025641026,0.29387194,0.002432916,0.15992229,0
思浮かべる,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
追憶,0.029434364,0.1978992,0.007315785,0.0025641026,0.29387194,0.002432916,0.15992229,0
思い出だす,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
想いだす,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
懐う,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
想い起こす,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
思浮べる,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
回視,0.014658992,0.20261109,0.0051090186,0.00024420026,0.3008689,0.0024908427,0.16372995,0
想起,0.0133842975,0.20129707,0.004664756,0.00022296545,0.30296725,0.0022742474,0.16470996,0
憶える,0.0817611,0.21560411,0.030911174,0.031734776,0.1725933,0.006538462,0.1532286,0
思いかえす,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
思返す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
思いだす,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
憶う,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
想い起す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
想い出す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
覚えている,0.00875,0.19703124,0.0075000003,0,0.3046875,0,0.1640625,0
思い返す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
思いまわす,0.014658992,0.20261109,0.0051090186,0.00024420026,0.3008689,0.0024908427,0.16372995,0
回顧,0.029434364,0.1978992,0.007315785,0.0025641026,0.29387194,0.002432916,0.15992229,0
思い起す,0.0133842975,0.20129707,0.004664756,0.00022296545,0.30296725,0.0022742474,0.16470996,0
思回す,0.014658992,0.20261109,0.0051090186,0.00024420026,0.3008689,0.0024908427,0.16372995,0
呼びおこす,0.014658992,0.20261109,0.0051090186,0.00024420026,0.3008689,0.0024908427,0.16372995,0
回想,0.0287654,0.19766285,0.0071495175,0.0025058277,0.2945794,0.0023776223,0.16026494,0
想出す,0.014318085,0.20225966,0.004990204,0.00023852117,0.30143005,0.002432916,0.16399203,0
喚び起こす,0.014658992,0.20261109,0.0051090186,0.00024420026,0.3008689,0.0024908427,0.16372995,0
湿潤,0,0,0.16286929,0.0010381545,0.18061762,0.23266505,0.28007957,0.0007569876
びしょびしょ,0,0,0.16918086,0.0012111801,0.18655388,0.2256092,0.27759287,0.0008831522
ぐじゃぐじゃ,0,0,0.14501214,0.0010381545,0.15990332,0.28861743,0.26650816,0.0007569876
多湿,0,0,0.08668557,0.0016149068,0.14984961,0.30636784,0.26012382,0.0011775362
雨勝ち,0,0,0.16918086,0.0012111801,0.18655388,0.2256092,0.27759287,0.0008831522
ずくずく,0,0,0.16918086,0.0012111801,0.18655388,0.2256092,0.27759287,0.0008831522
びたびた,0,0,0.16918086,0.0012111801,0.18655388,0.2256092,0.27759287,0.0008831522
ぐしゃぐしゃ,0,0,0.14501214,0.0010381545,0.15990332,0.28861743,0.26650816,0.0007569876
しとしと,0,0,0.16918086,0.0012111801,0.18655388,0.2256092,0.27759287,0.0008831522
湿った,0,0,0.16898745,0.0011180125,0.18502407,0.22620338,0.2793165,0.0008152174
湿気のある,0,0,0.15780614,0.0024223602,0.19921885,0.23177396,0.25351903,0.0017663044
雨勝,0,0,0.16918086,0.0012111801,0.18655388,0.2256092,0.27759287,0.0008831522
憤然たる,0.044999998,0,0,0,0,0.20750001,0.59250003,0
いらだたしさ,0.051599998,0,0.027400002,0.0228,0.0073333336,0.18003333,0.60029995,0
曲悪,0.0038483797,0.014661458,0,0.036186345,0.018243635,0.6908921,0.15790944,0.0009042245
悪事,0.02150107,0.030456731,0,0.045470085,0.023250533,0.56991005,0.1465318,0.031443644
兇,0.004012346,0.036319446,0,0.049969133,0.004205247,0.6598791,0.15748072,0.0024112654
悪行,0.02150107,0.030456731,0,0.045470085,0.023250533,0.56991005,0.1465318,0.031443644
曲事,0.015277778,0.026676137,0,0.03741162,0.008993056,0.6378546,0.16480272,0.005531881
醜さ,0.0008928572,0.017961735,0,0.063291006,0.02980206,0.6153894,0.16638792,0.0011160715
横様,0.004012346,0.036319446,0,0.049969133,0.004205247,0.6598791,0.15748072,0.0024112654
嘆願,0.036150794,0.25583333,0.00031746033,0.012222223,0.25119048,0,0.13095239,0
拝み倒す,0.024,0.094,0,0,0.3466667,0,0.17333333,0
哀訴,0.021818181,0.17636363,0,0,0.31515154,0,0.15757577,0
歎願,0.038931627,0.22166666,0.00034188034,0.013162393,0.27051285,0,0.14102565,0
懇請,0.046474073,0.22124445,0.0008296296,0.017940741,0.23444445,0,0.16222222,0
哀願,0.020000001,0.22000001,0,0,0.2888889,0,0.14444445,0
哀求,0.024,0.094,0,0,0.3466667,0,0.17333333,0
義務感,0,0,0,0.4,0,0,0.2,0
慶び事,0.54078263,0.17765218,0,0,0,0,0,0
祝典,0.54075,0.17774999,0,0,0,0,0,0
祝宴,0.49915385,0.16407694,0.007435898,0.0051282053,0.0010256411,0.026153846,0.022820514,0.0025641026
祝い,0.54078263,0.17765218,0,0,0,0,0,0
御祭り,0.54075,0.17774999,0,0,0,0,0,0
祝言,0.54078263,0.17765218,0,0,0,0,0,0
祭礼,0.54075,0.17774999,0,0,0,0,0,0
慶典,0.54078263,0.17765218,0,0,0,0,0,0
喜び事,0.54078263,0.17765218,0,0,0,0,0,0
祝い事,0.54075,0.17774999,0,0,0,0,0,0
お祭,0.54075,0.17774999,0,0,0,0,0,0
祭り,0.54075,0.17774999,0,0,0,0,0,0
お祭り,0.54075,0.17774999,0,0,0,0,0,0
祭,0.54075,0.17774999,0,0,0,0,0,0
祝祭,0.53985715,0.18042858,0,0,0,0,0,0
御祭,0.54075,0.17774999,0,0,0,0,0,0
祝賀会,0.54075,0.17774999,0,0,0,0,0,0
祝事,0.54078263,0.17765218,0,0,0,0,0,0
祝儀,0.49915385,0.16407694,0,0,0,0.020512821,0.030769233,0.012820513
祭式,0.54078263,0.17765218,0,0,0,0,0,0
記念,0.52433336,0.22700001,0,0,0,0,0,0
インパクト,0.28166667,0,0,0.38472223,0.03305556,0.021666668,0.0050000004,0
地震,0.12288832,0.033333335,0.046026073,0.3568141,0.03530329,0.057220805,0.0008928572,0.06785006
衝戟,0.18755208,0.0125,0.0078125,0.40274307,0.08185764,0.013541667,0.0031250003,0
影響力,0.2854167,0,0,0.36493057,0.029513892,0.027083334,0.0062500006,0
呆然とした状態,0.15472221,0.022222223,0.013888889,0.38790125,0.13503087,0,0,0
余勢,0.20555556,0,0.041666668,0.37962964,0.015740741,0.036111113,0.008333334,0.025000002
衝突,0.098958336,0,0.036250003,0.30902782,0.046319447,0.1275,0.11125,0.0125
衝動,0.22347221,0.026472224,0.016666668,0.30146298,0.017407408,0.10722222,0.035833336,0.010000001
効果,0.21190476,0,0,0.41706347,0.03373016,0.030952381,0.0071428576,0
影響,0.24833333,0,0.0050000004,0.33194447,0.023611112,0.10666668,0.030000003,0.0050000004
ぼうぜん自失,0.15472221,0.022222223,0.013888889,0.38790125,0.13503087,0,0,0
喪心,0.123874016,0.019527126,0.059587725,0.31629235,0.18210611,0.02324012,0.019637184,0.0041198274
インパルス,0.16527778,0.033333335,0.050694443,0.34583336,0.011805556,0.054861113,0.0062500006,0.054861113
運動力,0.20555556,0,0.041666668,0.37962964,0.015740741,0.036111113,0.008333334,0.025000002
虚脱状態,0.15472221,0.022222223,0.013888889,0.38790125,0.13503087,0,0,0
萎々,0.060000002,0.060000002,0.1,0.1,0.32,0,0,0.1
萎萎,0.060000002,0.060000002,0.1,0.1,0.32,0,0,0.1
悲しげに,0.060000002,0.060000002,0.1,0.1,0.32,0,0,0.1
哀しげに,0.060000002,0.060000002,0.1,0.1,0.32,0,0,0.1
悄々,0.060000002,0.060000002,0.1,0.1,0.32,0,0,0.1
悪玉,0,0,0,0.037037037,0.0148148155,0.8543518,0.0600926,0
悪者,0,0,0,0.037037037,0.0148148155,0.8543518,0.0600926,0
悪徒,0,0,0,0.037037037,0.0148148155,0.8543518,0.0600926,0
敵役,0,0,0,0,0,1,0,0
悪役,0,0,0,0,0,1,0,0
弱々しく,0,0,0.032857142,0.12178571,0.4714286,0,0.06964286,0.008571429
とぼとぼ,0,0,0.032857142,0.12178571,0.4714286,0,0.06964286,0.008571429
弱弱,0,0,0.032857142,0.12178571,0.4714286,0,0.06964286,0.008571429
弱く,0,0,0.032857142,0.12178571,0.4714286,0,0.06964286,0.008571429
たよたよ,0.0044444446,0,0.2428889,0.10127778,0.2777778,0.0022222223,0.036944445,0.064888895
へたへた,0,0,0.032857142,0.12178571,0.4714286,0,0.06964286,0.008571429
震顫,0.04377685,0.00051282055,0.14532737,0.20372494,0.03515323,0.16933928,0.0054332633,0.1785608
揺動,0.13518599,0.0021008388,0.14128579,0.17549849,0.030639622,0.1539883,0.005834531,0.16422874
揺ぐ,0.13181485,0.0036015247,0.15086557,0.17153862,0.032798555,0.14891937,0.0068473485,0.1605566
揺るぎ,0.067306764,0.0016622104,0.1596372,0.19943686,0.033144843,0.15109725,0.0052689305,0.16203281
揺り,0.037614144,0.0004166667,0.15539181,0.19676027,0.03708473,0.16855407,0.0056929355,0.1791269
骨折って働く,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
粒々辛苦,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
働き詰める,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
汗する,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
粒粒辛苦,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
力作,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
働きつめる,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
働詰める,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
こつこつ働く,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
苦杯,0,0,0.044296738,0.03940182,0.22428866,0.003292181,0.2924853,0.002057613
労作,0,0,0.050333332,0.01074074,0.25974074,0.0011111111,0.28122222,0
偶像教,0.25224993,0.5686478,0.0030993433,0.020312501,0.007348112,0.00991328,0,0.0028735632
献身,0.30061534,0.5273731,0.0019072882,0.012499999,0.0045219148,0.00610048,0,0.0017683466
